# Generated by tools/gen_checkdata.py -- do not edit by hand.
# Record types:
#   V|<format version>
#   C|<index>|<key>|<name>|<map,map,...>|<is_goal>
#   L|<id>|<map>|<type>|<arg>|<name>
#   K|<classname>|<item name>      weapon pickup that must be unlocked
#   S|<classname>                  always granted, never randomised
#   D|<data version>               must match the client's, or ids differ
V|1
D|ede02c45dcba
C|0|black_mesa_inbound|Black Mesa Inbound|hl_c00|0
L|7720074|hl_c04|charger|func_healthcharger:*58|We've Got Hostiles - Health Charger 1
L|7720075|hl_c04|charger|func_healthcharger:*59|We've Got Hostiles - Health Charger 2
L|7720076|hl_c04|charger|func_healthcharger:*102|We've Got Hostiles - Health Charger 3
L|7720077|hl_c04|charger|func_healthcharger:*103|We've Got Hostiles - Health Charger 4
L|7720078|hl_c04|charger|func_healthcharger:*158|We've Got Hostiles - Health Charger 5
L|7720079|hl_c04|charger|func_healthcharger:*175|We've Got Hostiles - Health Charger 6
L|7720080|hl_c04|charger|func_healthcharger:*241|We've Got Hostiles - Health Charger 7
L|7720081|hl_c04|charger|func_healthcharger:*256|We've Got Hostiles - Health Charger 8
L|7720082|hl_c04|charger|func_healthcharger:*257|We've Got Hostiles - Health Charger 9
L|7720083|hl_c04|charger|func_healthcharger:*258|We've Got Hostiles - Health Charger 10
L|7720084|hl_c04|charger|func_healthcharger:*280|We've Got Hostiles - Health Charger 11
L|7720085|hl_c04|charger|func_healthcharger:*331|We've Got Hostiles - Health Charger 12
L|7720086|hl_c04|charger|func_healthcharger:*360|We've Got Hostiles - Health Charger 13
L|7720087|hl_c04|charger|func_recharge:*79|We've Got Hostiles - HEV Charger 1
L|7720088|hl_c04|charger|func_recharge:*276|We've Got Hostiles - HEV Charger 2
L|7720089|hl_c04|charger|func_recharge:*281|We've Got Hostiles - HEV Charger 3
L|7720090|hl_c04|charger|func_recharge:*335|We've Got Hostiles - HEV Charger 4
L|7720007|hl_c05_a1|map_reached||Blast Pit - Part 1 Reached
L|7720008|hl_c05_a2|map_reached||Blast Pit - Part 2 Reached
L|7720091|hl_c05_a2|charger|func_healthcharger:*34|Blast Pit - Health Charger 1 (Part 2)
L|7720092|hl_c05_a2|charger|func_healthcharger:*141|Blast Pit - Health Charger 2 (Part 2)
L|7720093|hl_c05_a2|charger|func_healthcharger:*164|Blast Pit - Health Charger 3 (Part 2)
L|7720094|hl_c05_a2|charger|func_recharge:*35|Blast Pit - HEV Charger (Part 2)
L|7720009|hl_c05_a3|map_reached||Blast Pit - Part 3 Reached
L|7720095|hl_c05_a3|charger|func_healthcharger:*82|Blast Pit - Health Charger (Part 3)
L|7720096|hl_c05_a3|charger|func_recharge:*83|Blast Pit - HEV Charger (Part 3)
L|7720010|hl_c06|map_reached||Power Up - Reached
L|7720097|hl_c06|charger|func_healthcharger:*53|Power Up - Health Charger 1
L|7720098|hl_c06|charger|func_healthcharger:*162|Power Up - Health Charger 2
L|7720099|hl_c06|charger|func_healthcharger:*223|Power Up - Health Charger 3
L|7720100|hl_c06|charger|func_healthcharger:*224|Power Up - Health Charger 4
L|7720101|hl_c06|charger|func_recharge:*81|Power Up - HEV Charger 1
L|7720102|hl_c06|charger|func_recharge:*236|Power Up - HEV Charger 2
L|7720011|hl_c07_a1|map_reached||On A Rail - Part 1 Reached
L|7720103|hl_c07_a1|charger|func_healthcharger:*113|On A Rail - Health Charger 1 (Part 1)
L|7720104|hl_c07_a1|charger|func_healthcharger:*132|On A Rail - Health Charger 2 (Part 1)
L|7720105|hl_c07_a1|charger|func_recharge:*93|On A Rail - HEV Charger (Part 1)
L|7720012|hl_c07_a2|map_reached||On A Rail - Part 2 Reached
L|7720106|hl_c07_a2|charger|func_healthcharger:*41|On A Rail - Health Charger 1 (Part 2)
L|7720107|hl_c07_a2|charger|func_healthcharger:*79|On A Rail - Health Charger 2 (Part 2)
L|7720108|hl_c07_a2|charger|func_healthcharger:*146|On A Rail - Health Charger 3 (Part 2)
L|7720109|hl_c07_a2|charger|func_healthcharger:*150|On A Rail - Health Charger 4 (Part 2)
L|7720110|hl_c07_a2|charger|func_healthcharger:*239|On A Rail - Health Charger 5 (Part 2)
L|7720111|hl_c07_a2|charger|func_recharge:*147|On A Rail - HEV Charger 1 (Part 2)
L|7720112|hl_c07_a2|charger|func_recharge:*220|On A Rail - HEV Charger 2 (Part 2)
L|7720013|hl_c08_a1|map_reached||Apprehension - Part 1 Reached
L|7720113|hl_c08_a1|charger|func_healthcharger:*47|Apprehension - Health Charger 1 (Part 1)
L|7720114|hl_c08_a1|charger|func_healthcharger:*125|Apprehension - Health Charger 2 (Part 1)
L|7720115|hl_c08_a1|charger|func_recharge:*126|Apprehension - HEV Charger (Part 1)
L|7720014|hl_c08_a2|map_reached||Apprehension - Part 2 Reached
L|7720116|hl_c08_a2|charger|func_healthcharger:*142|Apprehension - Health Charger 1 (Part 2)
L|7720117|hl_c08_a2|charger|func_healthcharger:*143|Apprehension - Health Charger 2 (Part 2)
L|7720118|hl_c08_a2|charger|func_healthcharger:*144|Apprehension - Health Charger 3 (Part 2)
L|7720119|hl_c08_a2|charger|func_healthcharger:*203|Apprehension - Health Charger 4 (Part 2)
L|7720120|hl_c08_a2|charger|func_recharge:*73|Apprehension - HEV Charger 1 (Part 2)
L|7720121|hl_c08_a2|charger|func_recharge:*141|Apprehension - HEV Charger 2 (Part 2)
L|7720015|hl_c09|map_reached||Residue Processing - Reached
L|7720122|hl_c09|charger|func_healthcharger:*85|Residue Processing - Health Charger 1
L|7720123|hl_c09|charger|func_healthcharger:*227|Residue Processing - Health Charger 2
L|7720124|hl_c09|charger|func_healthcharger:*237|Residue Processing - Health Charger 3
L|7720125|hl_c09|charger|func_healthcharger:*327|Residue Processing - Health Charger 4
L|7720126|hl_c09|charger|func_healthcharger:*346|Residue Processing - Health Charger 5
L|7720127|hl_c09|charger|func_recharge:*242|Residue Processing - HEV Charger
L|7720016|hl_c10|map_reached||Questionable Ethics - Reached
L|7720128|hl_c10|charger|func_healthcharger:*35|Questionable Ethics - Health Charger 1
L|7720129|hl_c10|charger|func_healthcharger:*36|Questionable Ethics - Health Charger 2
L|7720130|hl_c10|charger|func_healthcharger:*37|Questionable Ethics - Health Charger 3
L|7720131|hl_c10|charger|func_healthcharger:*105|Questionable Ethics - Health Charger 4
L|7720132|hl_c10|charger|func_healthcharger:*113|Questionable Ethics - Health Charger 5
L|7720133|hl_c10|charger|func_healthcharger:*121|Questionable Ethics - Health Charger 6
L|7720134|hl_c10|charger|func_healthcharger:*213|Questionable Ethics - Health Charger 7
L|7720135|hl_c10|charger|func_recharge:*43|Questionable Ethics - HEV Charger
L|7720017|hl_c11_a1|map_reached||Surface Tension - Part 1 Reached
L|7720136|hl_c11_a1|charger|func_healthcharger:*209|Surface Tension - Health Charger (Part 1)
L|7720018|hl_c11_a2|map_reached||Surface Tension - Part 2 Reached
L|7720137|hl_c11_a2|charger|func_healthcharger:*17|Surface Tension - Health Charger 1 (Part 2)
L|7720138|hl_c11_a2|charger|func_healthcharger:*18|Surface Tension - Health Charger 2 (Part 2)
L|7720019|hl_c11_a3|map_reached||Surface Tension - Part 3 Reached
L|7720020|hl_c11_a4|map_reached||Surface Tension - Part 4 Reached
L|7720139|hl_c11_a4|charger|func_healthcharger:*112|Surface Tension - Health Charger (Part 4)
L|7720140|hl_c11_a4|charger|func_recharge:*111|Surface Tension - HEV Charger (Part 4)
L|7720021|hl_c11_a5|map_reached||Surface Tension - Part 5 Reached
L|7720141|hl_c11_a5|charger|func_healthcharger:*80|Surface Tension - Health Charger 1 (Part 5)
L|7720142|hl_c11_a5|charger|func_healthcharger:*176|Surface Tension - Health Charger 2 (Part 5)
L|7720143|hl_c11_a5|charger|func_healthcharger:*177|Surface Tension - Health Charger 3 (Part 5)
L|7720144|hl_c11_a5|charger|func_healthcharger:*182|Surface Tension - Health Charger 4 (Part 5)
L|7720022|hl_c12|map_reached||Forget About Freeman - Reached
L|7720145|hl_c12|charger|func_healthcharger:*72|Forget About Freeman - Health Charger 1
L|7720146|hl_c12|charger|func_healthcharger:*154|Forget About Freeman - Health Charger 2
L|7720147|hl_c12|charger|func_recharge:*153|Forget About Freeman - HEV Charger
L|7720023|hl_c13_a1|map_reached||Lambda Core - Part 1 Reached
L|7720148|hl_c13_a1|charger|func_healthcharger:*7|Lambda Core - Health Charger 1 (Part 1)
L|7720149|hl_c13_a1|charger|func_healthcharger:*22|Lambda Core - Health Charger 2 (Part 1)
L|7720150|hl_c13_a1|charger|func_healthcharger:*96|Lambda Core - Health Charger 3 (Part 1)
L|7720151|hl_c13_a1|charger|func_recharge:*8|Lambda Core - HEV Charger 1 (Part 1)
L|7720152|hl_c13_a1|charger|func_recharge:*97|Lambda Core - HEV Charger 2 (Part 1)
L|7720024|hl_c13_a2|map_reached||Lambda Core - Part 2 Reached
L|7720153|hl_c13_a2|charger|func_healthcharger:*121|Lambda Core - Health Charger (Part 2)
L|7720154|hl_c13_a2|charger|func_recharge:*35|Lambda Core - HEV Charger 1 (Part 2)
L|7720155|hl_c13_a2|charger|func_recharge:*122|Lambda Core - HEV Charger 2 (Part 2)
L|7720025|hl_c13_a3|map_reached||Lambda Core - Part 3 Reached
L|7720156|hl_c13_a3|charger|func_healthcharger:*115|Lambda Core - Health Charger (Part 3)
L|7720157|hl_c13_a3|charger|func_recharge:*150|Lambda Core - HEV Charger (Part 3)
L|7720026|hl_c13_a4|map_reached||Lambda Core - Part 4 Reached
L|7720158|hl_c13_a4|charger|func_healthcharger:*70|Lambda Core - Health Charger (Part 4)
L|7720159|hl_c13_a4|charger|func_recharge:*69|Lambda Core - HEV Charger (Part 4)
L|7720027|hl_c14|map_reached||Xen - Reached
L|7720028|hl_c15|map_reached||Gonarch's Lair - Reached
L|7720029|hl_c16_a1|map_reached||Interloper - Part 1 Reached
L|7720030|hl_c16_a2|map_reached||Interloper - Part 2 Reached
L|7720031|hl_c16_a3|map_reached||Interloper - Part 3 Reached
L|7720032|hl_c16_a4|map_reached||Interloper - Part 4 Reached
L|7720033|hl_c17|map_reached||Nihilanth - Part 1 Reached
L|7720034|hl_c18|map_reached||Nihilanth - Part 2 Reached
L|7720035|hl_c00|chapter_complete|black_mesa_inbound|Black Mesa Inbound - Complete
L|7720036|hl_c01_a2|chapter_complete|anomalous_materials|Anomalous Materials - Complete
L|7720037|hl_c02_a2|chapter_complete|unforeseen_consequences|Unforeseen Consequences - Complete
L|7720038|hl_c03|chapter_complete|office_complex|Office Complex - Complete
L|7720039|hl_c04|chapter_complete|weve_got_hostiles|We've Got Hostiles - Complete
L|7720040|hl_c05_a3|chapter_complete|blast_pit|Blast Pit - Complete
L|7720041|hl_c06|chapter_complete|power_up|Power Up - Complete
L|7720042|hl_c07_a2|chapter_complete|on_a_rail|On A Rail - Complete
L|7720043|hl_c08_a2|chapter_complete|apprehension|Apprehension - Complete
L|7720044|hl_c09|chapter_complete|residue_processing|Residue Processing - Complete
L|7720045|hl_c10|chapter_complete|questionable_ethics|Questionable Ethics - Complete
L|7720046|hl_c11_a5|chapter_complete|surface_tension|Surface Tension - Complete
L|7720047|hl_c12|chapter_complete|forget_about_freeman|Forget About Freeman - Complete
L|7720048|hl_c13_a4|chapter_complete|lambda_core|Lambda Core - Complete
L|7720049|hl_c14|chapter_complete|xen|Xen - Complete
L|7720050|hl_c15|chapter_complete|gonarchs_lair|Gonarch's Lair - Complete
L|7720051|hl_c16_a4|chapter_complete|interloper|Interloper - Complete
L|7720052|hl_c18|chapter_complete|nihilanth|Nihilanth - Complete
K|item_longjump|Long Jump Module
K|item_suit|HEV Suit
K|weapon_357|.357 Magnum
K|weapon_9mmAR|MP5
K|weapon_9mmhandgun|Glock
K|weapon_crossbow|Crossbow
K|weapon_egon|Gluon Gun
K|weapon_gauss|Tau Cannon
K|weapon_glock|Glock
K|weapon_handgrenade|Hand Grenade
K|weapon_hornetgun|Hivehand
K|weapon_m16|MP5
K|weapon_rpg|RPG
K|weapon_satchel|Satchel Charge
K|weapon_shotgun|Shotgun
K|weapon_snark|Snarks
K|weapon_tripmine|Tripmine
S|weapon_crowbar
S|weapon_medkit
